842.51	2577.59
852.45	690.73
856.52	873.48
870.53	1504.84
881.28	1166.33
914.46	5908.66
916.46	1862.49
923.62	1021
930.46	814.06
954.57	4421.46
993.56	808.63
1069.57	538.54
1115.58	1132.61
1131.58	1645.2
1150.67	864.11
1246.57	437.87
1257.7	748.45
1357.75	2583.09
1370.81	24559.37
1403.67	7414.43
1405.68	3847.7
1408.7	14493.1
1417.68	1553.64
1419.67	5800.41
1424.68	1381.35
1473.8	9316.61
1489.79	1746
1505.78	983.03
1612.76	1369.22
1628.76	2775.03
1635.79	778.33
1666.83	476.62
1671.9	771.91
1684.85	2868.09
1940.91	485.26
1941.96	887.63
1945.98	536.53
1978.91	9283.73
1987.9	761.02
1993.06	1097.44
1994.95	1594.65
2003.86	1216.38
2010.9	588.6
2018.13	587.42
2038.97	1523.92
2055	1729.32
2070.98	493
2108.04	5633.77
2122.05	488.63
2174.21	1474.86
2211.1	582.41
2225.14	487.94
2239.13	793.31
2281.11	621.48
2347.17	1694.98
2393.04	1988.32
2405.31	1249.44
2409.08	3110.94
2451.15	3160.98
2458.23	1430.6
2467.18	2369.84
2691.26	167.67
2807.32	716.54
2911.52	123.26
2922.3	262.64
3346.6	112.65
3349.59	305.22
